ID,Likes,Dislikes
000001,141142,4766
000002,576832,4090
000003,777711,4293
000004,929871,8987
000005,607859,4485
000006,356483,8499
000007,781129,6015
000008,317635,4731
000009,841437,1859
000010,174765,5676
000011,764660,9529
000012,130928,3801
000013,55478,9266
000014,649262,878
000015,284501,5893
000016,332982,8268
000017,947026,2355
000018,929613,8292
000019,700873,5604
000020,588535,3095
000021,672161,8910
000022,853324,6860
000023,684268,7416
000024,691366,618
000025,257768,4344
000026,846211,864
000027,604683,9217
000028,762656,1736
000029,650984,1764
000030,850092,8468
000031,603033,7259
000032,447061,1089
000033,347579,1428
000034,258624,2898
000035,579210,7443
000036,683361,1440
000037,225715,2599
000038,802920,9667
000039,56627,3243
000040,597042,7197
000041,943862,7817
000042,823592,3689
000043,171556,7729
000044,675644,7497
000045,353904,5214
000046,247775,6920
000047,850748,9954
000048,9187,2267
000049,910658,7399
000050,550985,7725
000051,462070,9529
000052,107446,2327
000053,49325,9538
000054,935986,7337
000055,253728,5247
000056,973919,807
000057,848745,4923
000058,968646,3273
000059,678822,5647
000060,320206,5604
000061,364421,7122
000062,382255,6482
000063,669101,1900
000064,430556,9910
000065,619367,6664
000066,634395,5108
000067,868405,4875
000068,78889,3393
000069,817567,3138
000070,295661,3095
000071,567,8683
000072,971684,787
000073,641848,2870
000074,467361,8971
000075,361173,8895
000076,628431,2451
000077,544748,39
000078,122569,4686
000079,778392,4481
000080,686192,9415
000081,269550,4172
000082,591829,4229
000083,282351,9917
000084,575247,7827
000085,452647,6387
000086,263068,2981
000087,857264,9605
000088,831987,5688
000089,597275,9415
000090,552999,5502
000091,551674,6322
000092,662574,8570
000093,11404,261
000094,297961,9034
000095,341918,9207
000096,602830,2135
000097,642637,4335
000098,667511,708
000099,321101,3182
000100,858695,5072
000101,628291,9039
000102,702286,7614
000103,219254,8498
000104,692574,8239
000105,386916,2108
000106,233399,1558
000107,870990,1275
000108,827878,6089
000109,396149,6231
000110,163222,360
000111,292234,4601
000112,701410,1854
000113,121511,8117
000114,775807,4642
000115,851390,8264
000116,231400,6980
000117,948116,8553
000118,788851,8854
000119,479240,2002
000120,14870,3341
000121,680182,6005
000122,89289,903
000123,819937,4167
000124,420657,6370
000125,750021,1829
000126,662702,465
000127,58089,3519
000128,221657,282
000129,984831,4022
000130,578893,662
000131,42016,8067
000132,926648,2310
000133,244365,2055
000134,606217,2256
000135,260430,3757
000136,16644,7559
000137,776202,9233
000138,545515,6704
000139,517288,6264
000140,199202,7318
000141,32973,3783
000142,693368,3996
000143,441863,1699
000144,917576,6972
000145,347405,1672
000146,781680,9131
000147,235103,9950
000148,639878,1958
000149,637802,2456
000150,596870,5074
000151,721170,5394
000152,518970,9747
000153,339439,6833
000154,318931,5249
000155,433029,4907
000156,688962,3274
000157,453344,5075
000158,532629,2600
000159,591982,7267
000160,126656,3354
000161,273566,36
000162,424200,2929
000163,284032,8727
000164,6065,9551
000165,863117,402
000166,359020,4075
000167,321963,8970
000168,541353,4929
000169,686194,3382
000170,448136,2213
000171,742134,3037
000172,659620,6880
000173,149323,2796
000174,441137,8589
000175,545584,2340
000176,31864,5700
000177,937700,471
000178,124562,6297
000179,58121,3693
000180,727701,2264
000181,977675,7247
000182,326935,4712
000183,414055,2895
000184,95041,5819
000185,635398,3678
000186,632012,9189
000187,95509,3009
000188,547549,2545
000189,169696,5982
000190,164848,1433
000191,373445,7528
000192,21045,6154
000193,783286,3283
000194,19223,4320
000195,144396,2260
000196,482812,5520
000197,341934,6327
000198,505785,4170
000199,724385,8672
000200,814610,2801
000201,561921,8147
000202,833571,6280
000203,477385,9250
000204,836580,2399
000205,849526,1336
000206,711302,3950
000207,221462,5098
000208,88882,682
000209,65043,93
000210,966936,5255
000211,621758,5658
000212,544442,4375
000213,161754,6629
000214,488098,2884
000215,186216,2186
000216,659957,2298
000217,154748,5549
000218,691616,6429
000219,914758,9475
000220,389629,2391
000221,178671,9191
000222,952190,5346
000223,685746,910
000224,210187,8053
000225,59302,1855
000226,802790,2424
000227,920339,8248
000228,613759,541
000229,868537,4120
000230,138183,2396
000231,351916,6521
000232,635251,9452
000233,133554,2164
000234,390213,6448
000235,740750,5373
000236,671665,2655
000237,72931,9204
000238,775489,907
000239,524048,3806
000240,921444,8389
000241,844365,5635
000242,861744,3154
000243,517038,2562
000244,244685,3912
000245,736189,2601
000246,354865,417
000247,421544,2464
000248,234118,2712
000249,260453,9496
000250,260428,9369
000251,434345,8716
000252,525278,3939
000253,399827,7014
000254,221518,3240
000255,194863,2197
000256,484966,5836
000257,150737,2273
000258,688816,3820
000259,23948,3210
000260,614477,1463
000261,751016,3046
000262,553648,5354
000263,521118,3803
000264,181052,402
000265,333073,5833
000266,260608,3575
000267,217439,2382
000268,721498,6366
000269,168424,997
000270,777551,9859
000271,510823,1788
000272,524896,6720
000273,135,4200
000274,969031,6688
000275,519979,3033
000276,490162,9940
000277,932957,3900
000278,249383,8832
000279,267426,7883
000280,601862,1894
000281,808728,9849
000282,900132,4214
000283,983500,6122
000284,660731,8112
000285,925805,4956
000286,229138,7986
000287,104413,8884
000288,796662,2041
000289,850916,9915
000290,851852,9928
000291,954017,5704
000292,283327,5892
000293,53430,34
000294,937839,8404
000295,954966,5393
000296,494925,7777
000297,492958,9431
000298,872297,2904
000299,162839,165
000300,986425,5696
000301,950067,910
000302,595104,5181
000303,172476,3200
000304,279677,9477
000305,783327,3453
000306,445706,2792
000307,746983,3622
000308,714850,2651
000309,358759,749
000310,349502,2151
000311,647397,9975
000312,437358,8359
000313,970485,2539
000314,977360,9668
000315,891555,8848
000316,954897,9197
000317,682453,9993
000318,260435,7327
000319,512754,3612
000320,766495,6203
000321,853290,7223
000322,839708,1396
000323,273300,1041
000324,325218,6000
000325,420051,8614
000326,502669,8365
000327,336163,6754
000328,242609,8130
000329,658240,7867
000330,791343,8224
000331,389728,7427
000332,351624,4857
000333,492570,7637
000334,95929,8402
000335,421618,8513
000336,214599,5530
000337,615760,7622
000338,382839,6362
000339,111682,6577
000340,876951,6421
000341,351919,5272
000342,456596,5238
000343,596150,6987
000344,326334,9817
000345,583120,5685
000346,307919,707
000347,66115,7845
000348,772548,7233
000349,659247,2814
000350,417695,848
000351,505796,7288
000352,751630,476
000353,309756,2735
000354,106886,9436
000355,215226,5353
000356,582963,9952
000357,172788,370
000358,60222,7524
000359,659739,4211
000360,157163,2879
000361,279442,6742
000362,285098,8344
000363,964794,5432
000364,151906,3661
000365,818418,5050
000366,44026,7641
000367,758435,9234
000368,620927,6640
000369,410215,854
000370,62546,3740
000371,157150,3148
000372,381172,9163
000373,669996,7929
000374,886350,3873
000375,914541,6496
000376,976748,2227
000377,480320,191
000378,398072,2510
000379,33458,3245
000380,327715,5168
000381,885171,944
